"","series","episode","first_name","last_name","signature_bake","technical","show_stopper","result","baker_age","baker_occupation","hometown"
"450",5,4,"Iain","Watters","Chocolate, Lime and Raspberry Fondants",6,"Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)","OUT",31,"Construction Engineer","London/Belfast"
"451",5,4,"Richard","Burr","Black Forest Chocolate Fondants",5,"Tiramisu Baked Alaska","STAR BAKER",38,"Builder","Mill Hill, London"
"452",5,4,"Claire","Goodwin",NA,NA,NA,NA,31,"Speech Therapist","Ashton upon Mersey, Trafford"
"453",5,4,"Enwezor","Nzegwu",NA,NA,NA,NA,39,"Business Consultant","Portsmouth, Hampshire"
"454",5,4,"Jordan","Cox",NA,NA,NA,NA,32,"IT Manager","Sneinton, Nottingham"
"455",5,5,"Chetna","Makan","Rice Custard Tart with Mangoes and Raspberries",2,"Fusion Tiered Pies","IN",35,"Fashion Designer","Broadstairs, Kent"
"456",5,5,"Luis","Troyano","Tropical Manchester Tart",6,"Four Fruity Seasons Tower","IN",42,"Graphic Designer","Poynton, Cheshire"
"457",5,5,"Martha","Collison","Pistachio, Apricot and Honey Custard Tart",1,"Three Little Pigs Pie","IN",17,"Student","Ascot, Berkshire"
"458",5,5,"Nancy","Birtwhistle","Chocolate Crusted Passion Fruit Tart",4,"Trio of Apple Pies","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"459",5,5,"Richard","Burr","Fig and Orange Tart",7,"Three Course Autumn Pie Feast","IN",38,"Builder","Mill Hill, London"
"460",5,5,"Norman","Calder","Tarte au Citron",5,"Pieful Tower","OUT",66,"Retired Naval Officer","Portknockie, Moray"
"461",5,5,"Kate","Henry","Rhubarb and Custard Tart",3,"Rhubarb, Prune and Apple Pies","STAR BAKER",41,"Furniture Restorer","Brighton, East Sussex"
"462",5,5,"Diana","Beard",NA,NA,NA,"WD",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"463",5,5,"Claire","Goodwin",NA,NA,NA,NA,31,"Speech Therapist","Ashton upon Mersey, Trafford"
"464",5,5,"Enwezor","Nzegwu",NA,NA,NA,NA,39,"Business Consultant","Portsmouth, Hampshire"
"465",5,5,"Iain","Watters",NA,NA,NA,NA,31,"Construction Engineer","London/Belfast"
"466",5,5,"Jordan","Cox",NA,NA,NA,NA,32,"IT Manager","Sneinton, Nottingham"
"467",5,6,"Diana","Beard",NA,NA,NA,"IN",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"468",5,6,"Kate","Henry","Pecan, Chocolate and Sour Cherry Yeast Cake",6,"Trio of Dobos Tortes","IN",41,"Furniture Restorer","Brighton, East Sussex"
"469",5,6,"Luis","Troyano","Apple and Cinnamon Kugelhopf with Honeyed Apples",3,"The Cage on the Rocky Hill","IN",42,"Graphic Designer","Poynton, Cheshire"
"470",5,6,"Martha","Collison","Dark Chocolate and Almond Liqueur Savarin",4,"Chess-Themed Chocolate and Salted Caramel Dobos Torte","IN",17,"Student","Ascot, Berkshire"
"471",5,6,"Nancy","Birtwhistle","Rum Punch Savarin with Coconut Cream and Tropical Fruits",1,"Chocolate and Caramel Dobos Torte","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"472",5,6,"Richard","Burr","Fruity Guglhupf with an Orange Glaze",5,"Sugar Forest Dobos Torte","IN",38,"Builder","Mill Hill, London"
"473",5,6,"Chetna","Makan","Orange Savarin with Cinnamon Cream",2,"Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream","STAR BAKER",35,"Fashion Designer","Broadstairs, Kent"
"474",5,6,"Claire","Goodwin",NA,NA,NA,NA,31,"Speech Therapist","Ashton upon Mersey, Trafford"
"475",5,6,"Enwezor","Nzegwu",NA,NA,NA,NA,39,"Business Consultant","Portsmouth, Hampshire"
"476",5,6,"Iain","Watters",NA,NA,NA,NA,31,"Construction Engineer","London/Belfast"
"477",5,6,"Jordan","Cox",NA,NA,NA,NA,32,"IT Manager","Sneinton, Nottingham"
"478",5,6,"Norman","Calder",NA,NA,NA,NA,66,"Retired Naval Officer","Portknockie, Moray"
"479",5,7,"Chetna","Makan","Crispy Lentil Kachori",6,"Chocolate and Mango & Lemon Meringue Éclairs","IN",35,"Fashion Designer","Broadstairs, Kent"
"480",5,7,"Diana","Beard",NA,NA,NA,"IN",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"481",5,7,"Luis","Troyano","Childhood Empanadas",5,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)","IN",42,"Graphic Designer","Poynton, Cheshire"
"482",5,7,"Martha","Collison","Mini Beef Wellingtons",3,"Rhubarb and Custard & Maple Syrup and Bacon Éclairs","IN",17,"Student","Ascot, Berkshire"
"483",5,7,"Nancy","Birtwhistle","Spicy Duck Pasties",2,"Smoked Salmon and Horseradish & Raspberry Ripple Éclairs","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"484",5,7,"Kate","Henry","Spinach and Paneer Spicy Samosa",4,"Neapolitan & Lemon Meringue Éclairs","OUT",41,"Furniture Restorer","Brighton, East Sussex"
